Tipo;Estación;Calzada;Carriles;Provincia;Población;Carretera;PK;Total;Moto;Lige;Bus;Camión;Pesa;Días
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1993;15602;0;12014;214;3374;365
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1992;16190;0;12370;228;3592;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1991;16504;0;12808;220;3476;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1990;15828;0;12410;204;3214;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1989;16014;0;12828;210;2976;001
Peajes;GI-506-3;Total;2+2;GI;ORRIOLS;AP-7N;34,61;1988;14626;0;11980;174;2472;001
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2013;24571;74;21595;726;2134;000
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2012;24767;74;21787;732;2132;000
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2011;26370;80;23145;778;2321;000
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2010;27866;110;24520;706;2476;000
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2009;28942;114;25442;735;2595;0
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2008;31865;284;27990;1538;2706;0
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2007;35138;251;30997;121;3769;1
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2006;34288;244;30132;268;3644;001
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2005;32832;218;28641;292;3681;001
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2004;30007;186;25740;258;3823;001
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2003;25996;178;22438;216;3164;001
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2002;22462;0;19542;258;2662;365
Peajes;A-511-3;Total;2+2;A;;AP-7;741,65;2001;19162;0;17094;182;1886;365
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2013;18341;110;11831;718;5508;000
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2012;15997;64;11450;710;3693;000
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2011;16791;50;11924;496;4237;000
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2010;17596;70;12634;446;4352;000
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2009;17368;68;12277;442;4483;0
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2008;18535;0;12327;2;1006;0
Peajes;GI-507-3;Total;2+2;GI;FIGUERASSUR;AP-7N;24,93;2007;19340;136;12604;205;6395;1
